text,label
"severe headache and nausea for 3 days","migraine"
"itchy red patches on skin","eczema"
"blood vomiting and chest pain","tuberculosis"
"tired and pale for days","anemia"
"stomach pain and vomiting blood","ulcer"
"dry skin with redness and blisters","psoriasis"
"high fever and rash all over body","measles"
"frequent urination and excessive thirst","diabetes"
"shortness of breath and swollen ankles","heart failure"
"persistent cough with mucus","bronchitis"
"joint pain and morning stiffness","arthritis"
"yellowing of skin and eyes","jaundice"
"painful urination and lower abdominal pain","urinary tract infection"
"weight loss and night sweats","lymphoma"
"blurred vision and eye pain","glaucoma"
"neck stiffness and sensitivity to light","meningitis"
"persistent sadness and loss of interest","depression"
"hallucinations and disorganized speech","schizophrenia"
"fever and swollen lymph nodes","mononucleosis"
"chronic fatigue and muscle pain","fibromyalgia"
"abdominal cramps and diarrhea","food poisoning"
"runny nose and sneezing","common cold"
"high fever and muscle aches","influenza"
"loss of appetite and abdominal swelling","liver cirrhosis"
"skin peeling and fever","scarlet fever"
"facial drooping and arm weakness","stroke"
"chest tightness and wheezing","asthma"
"painful blisters on lips","herpes simplex"
"white patches in mouth","oral thrush"
"numbness in hands and feet","peripheral neuropathy"
"persistent sore throat and difficulty swallowing","tonsillitis"
"bulging eyes and rapid heartbeat","hyperthyroidism"
"cold intolerance and weight gain","hypothyroidism"
"painful bowel movements and blood in stool","hemorrhoids"
"swollen joints and butterfly rash","lupus"
"itchy scalp and hair loss","seborrheic dermatitis"
"frequent nosebleeds and easy bruising","leukemia"
"abdominal pain and bloating","irritable bowel syndrome"
"burning sensation in chest after eating","acid reflux"
"painful red eye and vision loss","uveitis"
"uncontrollable movements and mood swings","Huntington's disease"
"loss of memory and confusion","Alzheimer's disease"
"muscle weakness and difficulty walking","multiple sclerosis"
"fever and bleeding gums","dengue"
"fever and joint pain after mosquito bite","chikungunya"
"high fever and yellow eyes","hepatitis A"
"low platelet count and fatigue","dengue hemorrhagic fever"
"persistent fever and abdominal tenderness","typhoid"
"painful urination and genital sores","syphilis"
"night blindness and dry eyes","vitamin A deficiency"
"bone pain and frequent fractures","osteoporosis"
"slow growth and delayed puberty","growth hormone deficiency"
"mild sore throat and fatigue","seasonal flu"
"itchy eyes and sneezing during spring","hay fever"
"occasional stomach discomfort after meals","indigestion"
"mild headache and tiredness after long screen time","eye strain"
"dry throat and cough in winter","cold weather irritation"
"occasional dizziness after skipping meals","low blood sugar"
"mild back pain after sitting long hours","postural strain"
"skin irritation after using new soap","contact dermatitis"
"frequent yawning and lack of focus","sleep deprivation"
"mild nausea after eating spicy food","gastritis"
"occasional leg cramps at night","electrolyte imbalance"
"itchy scalp after sweating","scalp irritation"
"temporary fatigue after intense workout","exercise fatigue"
